team,strength,win_percentage,avg_goals_for,avg_goals_against,matches,wins,home_win_percentage,away_win_percentage
colombia,weak,36.89320388349515,1.2135922330097086,1.0776699029126213,206,76,48.54368932038835,25.24271844660194
comoros,weak,25.0,0.875,1.75,16,4,33.33333333333333,14.285714285714285
congo,weak,30.0,1.1,1.4714285714285715,70,21,44.11764705882353,16.666666666666664
cook islands,weak,11.11111111111111,0.7222222222222222,3.2777777777777777,18,2,20.0,7.6923076923076925
costa rica,strong,51.70454545454546,1.6875,1.0625,176,91,69.31818181818183,34.090909090909086
croatia,strong,54.90196078431373,1.6862745098039216,0.8235294117647058,102,56,60.86956521739131,50.0
cuba,weak,30.508474576271187,1.3728813559322033,1.728813559322034,59,18,41.66666666666667,22.857142857142858
curaçao,weak,31.372549019607842,1.2745098039215685,1.5098039215686274,51,16,34.78260869565217,28.57142857142857
cyprus,weak,13.492063492063492,0.746031746031746,2.5555555555555554,126,17,19.047619047619047,7.936507936507936
czech republic,strong,51.24999999999999,1.7875,0.85,80,41,55.00000000000001,47.5
czechoslovakia,strong,50.495049504950494,1.8613861386138615,1.0693069306930694,101,51,69.23076923076923,30.612244897959183
dr congo,medium,46.236559139784944,1.5913978494623655,1.1827956989247312,93,43,64.58333333333334,26.666666666666668
denmark,medium,49.03225806451613,1.761290322580645,1.1161290322580646,155,76,55.26315789473685,43.037974683544306
djibouti,weak,7.4074074074074066,0.5925925925925926,3.925925925925926,27,2,15.384615384615385,0.0
dominica,weak,15.384615384615385,0.8461538461538461,2.576923076923077,26,4,15.384615384615385,15.384615384615385
dominican republic,weak,39.39393939393939,1.6363636363636365,1.4848484848484849,33,13,50.0,26.666666666666668
ecuador,weak,35.1063829787234,1.1861702127659575,1.2765957446808511,188,66,54.94505494505495,16.49484536082474
egypt,strong,54.385964912280706,1.7105263157894737,0.9473684210526315,114,62,82.14285714285714,27.586206896551722
el salvador,medium,42.51968503937008,1.6456692913385826,1.3858267716535433,127,54,54.83870967741935,30.76923076923077
england,strong,58.97435897435898,2.112820512820513,0.6871794871794872,195,115,67.32673267326733,50.0
equatorial guinea,weak,35.294117647058826,0.9117647058823529,1.2941176470588236,34,12,64.70588235294117,5.88235294117647
eritrea,weak,0.0,0.4,2.0,10,0,0.0,0.0
estonia,weak,20.930232558139537,0.9069767441860465,2.2209302325581395,86,18,27.500000000000004,15.217391304347828
eswatini,weak,14.814814814814813,0.7407407407407407,1.8518518518518519,27,4,20.0,8.333333333333332
ethiopia,weak,21.818181818181817,1.0727272727272728,1.4545454545454546,55,12,39.285714285714285,3.7037037037037033
faroe islands,weak,9.75609756097561,0.5121951219512195,2.5609756097560976,82,8,12.5,7.142857142857142
fiji,medium,40.0,2.142857142857143,2.4285714285714284,35,14,47.05882352941176,33.33333333333333
finland,weak,25.899280575539567,1.0575539568345325,2.1510791366906474,139,36,30.434782608695656,21.428571428571427
france,strong,56.770833333333336,1.9270833333333333,0.9166666666666666,192,109,68.93203883495146,42.69662921348314
gabon,medium,40.57971014492754,1.1014492753623188,1.144927536231884,69,28,61.76470588235294,20.0
gambia,weak,21.875,1.03125,1.625,32,7,43.75,0.0
georgia,weak,17.1875,0.890625,1.578125,64,11,21.875,12.5
german dr,medium,45.28301886792453,1.7358490566037736,1.320754716981132,53,24,53.84615384615385,37.03703703703704
germany,strong,69.9074074074074,2.5925925925925926,0.9444444444444444,216,151,69.23076923076923,70.93023255813954
ghana,medium,48.214285714285715,1.5535714285714286,0.8928571428571429,112,54,64.81481481481481,32.758620689655174
gibraltar,weak,0.0,0.36363636363636365,4.409090909090909,22,0,0.0,0.0
greece,weak,39.726027397260275,1.178082191780822,1.3630136986301369,146,58,50.70422535211267,29.333333333333332
grenada,weak,27.586206896551722,1.6896551724137931,1.9310344827586208,29,8,33.33333333333333,21.428571428571427
guam,weak,13.636363636363635,0.5,3.9545454545454546,22,3,33.33333333333333,0.0
guatemala,medium,45.97701149425287,1.8620689655172413,1.264367816091954,87,40,59.09090909090909,32.55813953488372
guinea,medium,42.5287356321839,1.4137931034482758,1.2988505747126438,87,37,67.44186046511628,18.181818181818183
guinea-bissau,weak,19.230769230769234,0.8076923076923077,1.4615384615384615,26,5,16.666666666666664,21.428571428571427
guyana,weak,21.428571428571427,1.1428571428571428,2.4285714285714284,28,6,35.714285714285715,7.142857142857142
haiti,medium,40.909090909090914,1.7575757575757576,1.606060606060606,66,27,37.83783783783784,44.827586206896555
honduras,weak,38.732394366197184,1.5633802816901408,1.3309859154929577,142,55,51.35135135135135,25.0
hong kong,weak,28.08988764044944,1.1573033707865168,1.7752808988764044,89,25,30.434782608695656,25.581395348837212
hungary,medium,47.5609756097561,1.9634146341463414,1.420731707317073,164,78,54.32098765432099,40.963855421686745
iceland,weak,25.210084033613445,1.0924369747899159,2.0,119,30,36.84210526315789,14.516129032258066
india,weak,21.052631578947366,0.9122807017543859,1.7719298245614035,57,12,25.925925925925924,16.666666666666664
indonesia,weak,27.083333333333332,1.25,2.0625,96,26,45.45454545454545,11.538461538461538
iran,strong,58.75706214689266,2.0282485875706215,0.7401129943502824,177,104,64.44444444444444,52.87356321839081
iraq,medium,46.32352941176471,1.8161764705882353,0.9705882352941176,136,63,57.14285714285714,34.84848484848485
israel,weak,33.57664233576642,1.416058394160584,1.510948905109489,137,46,42.10526315789473,22.950819672131146
italy,strong,61.19402985074627,1.800995024875622,0.7412935323383084,201,123,68.80733944954129,52.17391304347826
ivory coast,strong,54.0,1.82,0.84,100,54,75.51020408163265,33.33333333333333
jamaica,weak,34.18803418803419,1.1025641025641026,1.3162393162393162,117,40,47.368421052631575,21.666666666666668
japan,strong,57.38636363636363,2.1306818181818183,0.7159090909090909,176,101,61.111111111111114,53.48837209302325
jordan,medium,42.391304347826086,1.5978260869565217,1.1521739130434783,92,39,52.17391304347826,32.608695652173914
kazakhstan,weak,18.571428571428573,1.1285714285714286,2.157142857142857,70,13,22.857142857142858,14.285714285714285
kenya,weak,31.25,1.15,1.35,80,25,50.0,12.5
kosovo,weak,5.555555555555555,0.4444444444444444,2.1666666666666665,18,1,0.0,11.11111111111111
kuwait,medium,46.55172413793103,1.6724137931034482,1.0258620689655173,116,54,52.72727272727272,40.98360655737705
kyrgyzstan,weak,37.735849056603776,1.490566037735849,1.5660377358490567,53,20,40.74074074074074,34.61538461538461
laos,weak,6.896551724137931,0.7241379310344828,4.379310344827586,29,2,15.384615384615385,0.0
latvia,weak,25.287356321839084,1.0804597701149425,1.6896551724137931,87,22,26.190476190476193,24.444444444444443
lebanon,weak,30.0,1.35,1.35,80,24,31.57894736842105,28.57142857142857
lesotho,weak,9.375,0.59375,1.78125,32,3,6.666666666666667,11.76470588235294
liberia,weak,27.397260273972602,0.7397260273972602,1.4246575342465753,73,20,39.473684210526315,14.285714285714285
libya,weak,36.231884057971016,1.0579710144927537,1.1159420289855073,69,25,55.88235294117647,17.142857142857142
liechtenstein,weak,2.7777777777777777,0.3472222222222222,3.111111111111111,72,2,2.7027027027027026,2.857142857142857
lithuania,weak,21.686746987951807,0.7831325301204819,1.6024096385542168,83,18,28.57142857142857,14.634146341463413
luxembourg,weak,5.633802816901409,0.5422535211267606,3.176056338028169,142,8,7.142857142857142,4.166666666666666
macau,weak,10.256410256410255,0.4358974358974359,4.435897435897436,39,4,17.647058823529413,4.545454545454546
madagascar,weak,32.6530612244898,1.183673469387755,1.346938775510204,49,16,48.0,16.666666666666664
malawi,weak,25.0,0.875,1.4027777777777777,72,18,36.11111111111111,13.88888888888889
malaysia,weak,35.13513513513514,1.4054054054054055,1.7972972972972974,74,26,51.42857142857142,20.51282051282051
maldives,weak,21.428571428571427,1.0714285714285714,3.4047619047619047,42,9,30.0,13.636363636363635
mali,weak,38.88888888888889,1.2777777777777777,1.0555555555555556,54,21,55.55555555555556,22.22222222222222
malta,weak,2.631578947368421,0.3684210526315789,2.9210526315789473,114,3,1.7543859649122806,3.508771929824561
mauritania,weak,7.142857142857142,0.6071428571428571,1.8214285714285714,28,2,14.285714285714285,0.0
mauritius,weak,7.6923076923076925,0.7692307692307693,2.3846153846153846,26,2,18.181818181818183,0.0
mexico,strong,55.45454545454545,2.0545454545454547,0.9681818181818181,220,122,72.32142857142857,37.96296296296296
moldova,weak,7.142857142857142,0.6,2.1857142857142855,70,5,8.333333333333332,5.88235294117647
mongolia,weak,23.076923076923077,0.6538461538461539,2.9615384615384617,26,6,36.36363636363637,13.333333333333334
montenegro,weak,35.714285714285715,1.5476190476190477,1.4047619047619047,42,15,36.36363636363637,35.0
montserrat,weak,13.333333333333334,1.2666666666666666,3.7333333333333334,15,2,12.5,14.285714285714285
morocco,medium,46.57534246575342,1.4315068493150684,0.7534246575342466,146,68,66.66666666666666,25.352112676056336
mozambique,weak,31.25,0.9375,1.4375,48,15,41.66666666666667,20.833333333333336
myanmar,weak,20.0,0.8333333333333334,3.3666666666666667,30,6,40.0,0.0
namibia,weak,24.561403508771928,0.8947368421052632,1.719298245614035,57,14,28.57142857142857,20.689655172413794
nepal,weak,15.217391304347828,0.6739130434782609,3.108695652173913,46,7,20.0,11.538461538461538
netherlands,strong,62.63157894736842,2.236842105263158,0.8052631578947368,190,119,67.0,57.77777777777777
new caledonia,medium,45.45454545454545,2.227272727272727,1.3636363636363635,22,10,66.66666666666666,30.76923076923077
