date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,month
2021-10-13,el salvador,mexico,0,2,fifa world cup qualification,san salvador,el salvador,False,away_team,october
2021-10-14,bolivia,paraguay,4,0,fifa world cup qualification,la paz,bolivia,False,home_team,october
2021-10-14,colombia,ecuador,0,0,fifa world cup qualification,barranquilla,colombia,False,draw,october
2021-10-14,argentina,peru,1,0,fifa world cup qualification,buenos aires,argentina,False,home_team,october
2021-10-14,brazil,uruguay,4,1,fifa world cup qualification,manaus,brazil,False,home_team,october
2021-10-14,chile,venezuela,3,0,fifa world cup qualification,santiago,chile,False,home_team,october
2021-11-11,uganda,kenya,1,1,fifa world cup qualification,entebbe,uganda,False,draw,november
2021-11-11,rwanda,mali,0,3,fifa world cup qualification,kigali,rwanda,False,away_team,november
2021-11-11,ethiopia,ghana,1,1,fifa world cup qualification,johannesburg,south africa,True,draw,november
2021-11-11,south africa,zimbabwe,1,0,fifa world cup qualification,johannesburg,south africa,False,home_team,november
2021-11-11,congo,namibia,1,1,fifa world cup qualification,brazzaville,congo,False,draw,november
2021-11-11,togo,senegal,1,1,fifa world cup qualification,lomé,togo,False,draw,november
2021-11-11,tanzania,dr congo,0,3,fifa world cup qualification,dar es salaam,tanzania,False,away_team,november
2021-11-11,benin,madagascar,2,0,fifa world cup qualification,cotonou,benin,False,home_team,november
2021-11-11,lebanon,iran,1,2,fifa world cup qualification,sidon,lebanon,False,away_team,november
2021-11-11,iraq,syria,1,1,fifa world cup qualification,al rayyan,qatar,True,draw,november
2021-11-11,south korea,united arab emirates,1,0,fifa world cup qualification,goyang,south korea,False,home_team,november
2021-11-11,china pr,oman,1,1,fifa world cup qualification,sharjah,united arab emirates,True,draw,november
2021-11-11,vietnam,japan,0,1,fifa world cup qualification,hanoi,vietnam,False,away_team,november
2021-11-11,australia,saudi arabia,0,0,fifa world cup qualification,sydney,australia,False,draw,november
2021-11-11,republic of ireland,portugal,0,0,fifa world cup qualification,dublin,republic of ireland,False,draw,november
2021-11-11,azerbaijan,luxembourg,1,3,fifa world cup qualification,baku,azerbaijan,False,away_team,november
2021-11-11,georgia,sweden,2,0,fifa world cup qualification,batumi,georgia,False,home_team,november
2021-11-11,greece,spain,0,1,fifa world cup qualification,athens,greece,False,away_team,november
2021-11-11,russia,cyprus,6,0,fifa world cup qualification,saint petersburg,russia,False,home_team,november
2021-11-11,malta,croatia,1,7,fifa world cup qualification,ta' qali,malta,False,away_team,november
2021-11-11,slovakia,slovenia,2,2,fifa world cup qualification,trnava,slovakia,False,draw,november
2021-11-11,germany,liechtenstein,9,0,fifa world cup qualification,wolfsburg,germany,False,home_team,november
2021-11-11,armenia,north macedonia,0,5,fifa world cup qualification,yerevan,armenia,False,away_team,november
2021-11-11,romania,iceland,0,0,fifa world cup qualification,bucharest,romania,False,draw,november
2021-11-11,ecuador,venezuela,1,0,fifa world cup qualification,quito,ecuador,False,home_team,november
2021-11-11,paraguay,chile,0,1,fifa world cup qualification,asunción,paraguay,False,away_team,november
2021-11-11,peru,bolivia,3,0,fifa world cup qualification,lima,peru,False,home_team,november
2021-11-11,brazil,colombia,1,0,fifa world cup qualification,são paulo,brazil,False,home_team,november
2021-11-12,burkina faso,niger,1,1,fifa world cup qualification,marrakech,morocco,True,draw,november
2021-11-12,algeria,djibouti,0,4,fifa world cup qualification,cairo,egypt,True,away_team,november
2021-11-12,gabon,libya,1,0,fifa world cup qualification,franceville,gabon,False,home_team,november
2021-11-12,angola,egypt,2,2,fifa world cup qualification,luanda,angola,False,draw,november
2021-11-12,guinea,guinea-bissau,0,0,fifa world cup qualification,conakry,guinea,False,draw,november
2021-11-12,morocco,sudan,3,0,fifa world cup qualification,rabat,morocco,False,home_team,november
2021-11-12,canada,costa rica,1,0,fifa world cup qualification,edmonton,canada,False,home_team,november
2021-11-12,honduras,panama,2,3,fifa world cup qualification,san pedro sula,honduras,False,away_team,november
2021-11-12,el salvador,jamaica,1,1,fifa world cup qualification,san salvador,el salvador,False,draw,november
2021-11-12,united states,mexico,2,0,fifa world cup qualification,cincinnati,united states,False,home_team,november
2021-11-12,northern ireland,lithuania,1,0,fifa world cup qualification,belfast,northern ireland,False,home_team,november
2021-11-12,italy,switzerland,1,1,fifa world cup qualification,rome,italy,False,draw,november
2021-11-12,moldova,scotland,0,2,fifa world cup qualification,chișinău,moldova,False,away_team,november
2021-11-12,denmark,faroe islands,3,1,fifa world cup qualification,copenhagen,denmark,False,home_team,november
2021-11-12,austria,israel,4,2,fifa world cup qualification,klagenfurt,austria,False,home_team,november
2021-11-12,england,albania,5,0,fifa world cup qualification,london,england,False,home_team,november
2021-11-12,andorra,poland,1,4,fifa world cup qualification,andorra la vella,andorra,False,away_team,november
2021-11-12,hungary,san marino,4,0,fifa world cup qualification,budapest,hungary,False,home_team,november
2021-11-12,uruguay,argentina,0,1,fifa world cup qualification,montevideo,uruguay,False,away_team,november
2021-11-13,zambia,mauritania,4,0,fifa world cup qualification,lusaka,zambia,False,home_team,november
2021-11-13,equatorial guinea,tunisia,1,0,fifa world cup qualification,malabo,equatorial guinea,False,home_team,november
2021-11-13,cape verde,central african republic,2,1,fifa world cup qualification,mindelo,cape verde,False,home_team,november
2021-11-13,liberia,nigeria,0,2,fifa world cup qualification,tangier,morocco,True,away_team,november
2021-11-13,cameroon,malawi,0,4,fifa world cup qualification,johannesburg,south africa,True,away_team,november
2021-11-13,ivory coast,mozambique,3,0,fifa world cup qualification,cotonou,benin,True,home_team,november
2021-11-13,bosnia and herzegovina,finland,1,3,fifa world cup qualification,zenica,bosnia and herzegovina,False,away_team,november
2021-11-13,france,kazakhstan,8,0,fifa world cup qualification,paris,france,False,home_team,november
2021-11-13,wales,belarus,5,1,fifa world cup qualification,cardiff,wales,False,home_team,november
2021-11-13,belgium,estonia,3,1,fifa world cup qualification,brussels,belgium,False,home_team,november
2021-11-13,norway,latvia,0,0,fifa world cup qualification,oslo,norway,False,draw,november
2021-11-13,turkey,gibraltar,6,0,fifa world cup qualification,istanbul,turkey,False,home_team,november
2021-11-13,montenegro,netherlands,2,2,fifa world cup qualification,podgorica,montenegro,False,draw,november
2021-11-14,mali,uganda,1,0,fifa world cup qualification,agadir,morocco,True,home_team,november
2021-11-14,zimbabwe,ethiopia,1,1,fifa world cup qualification,harare,zimbabwe,False,draw,november
2021-11-14,ghana,south africa,1,0,fifa world cup qualification,cape coast,ghana,False,home_team,november
2021-11-14,senegal,congo,2,0,fifa world cup qualification,thiès,senegal,False,home_team,november
2021-11-14,dr congo,benin,2,0,fifa world cup qualification,kinshasa,dr congo,False,home_team,november
2021-11-14,madagascar,tanzania,1,1,fifa world cup qualification,antananarivo,madagascar,False,draw,november
2021-11-14,portugal,serbia,1,2,fifa world cup qualification,lisbon,portugal,False,away_team,november
2021-11-14,luxembourg,republic of ireland,0,3,fifa world cup qualification,luxembourg,luxembourg,False,away_team,november
2021-11-14,spain,sweden,1,0,fifa world cup qualification,seville,spain,False,home_team,november
2021-11-14,greece,kosovo,1,1,fifa world cup qualification,athens,greece,False,draw,november
2021-11-14,croatia,russia,1,0,fifa world cup qualification,split,croatia,False,home_team,november
2021-11-14,malta,slovakia,0,6,fifa world cup qualification,ta' qali,malta,False,away_team,november
2021-11-14,slovenia,cyprus,2,1,fifa world cup qualification,ljubljana,slovenia,False,home_team,november
2021-11-14,liechtenstein,romania,0,2,fifa world cup qualification,vaduz,liechtenstein,False,away_team,november
2021-11-14,north macedonia,iceland,3,1,fifa world cup qualification,skopje,north macedonia,False,home_team,november
2021-11-14,armenia,germany,1,4,fifa world cup qualification,yerevan,armenia,False,away_team,november
2021-11-15,niger,djibouti,7,2,fifa world cup qualification,niamey,niger,False,home_team,november
2021-11-15,kenya,rwanda,2,1,fifa world cup qualification,nairobi,kenya,False,home_team,november
2021-11-15,namibia,togo,0,1,fifa world cup qualification,johannesburg,south africa,True,away_team,november
2021-11-15,guinea-bissau,sudan,0,0,fifa world cup qualification,marrakech,morocco,True,draw,november
2021-11-15,northern ireland,italy,0,0,fifa world cup qualification,belfast,northern ireland,False,draw,november
2021-11-15,switzerland,bulgaria,4,0,fifa world cup qualification,lucerne,switzerland,False,home_team,november
2021-11-15,scotland,denmark,2,0,fifa world cup qualification,glasgow,scotland,False,home_team,november
2021-11-15,austria,moldova,4,1,fifa world cup qualification,klagenfurt,austria,False,home_team,november
2021-11-15,israel,faroe islands,3,2,fifa world cup qualification,netanya,israel,False,home_team,november
2021-11-15,albania,andorra,1,0,fifa world cup qualification,tirana,albania,False,home_team,november
2021-11-15,poland,hungary,1,2,fifa world cup qualification,warsaw,poland,False,away_team,november
2021-11-15,san marino,england,0,10,fifa world cup qualification,serravalle,san marino,False,away_team,november
2021-11-16,algeria,burkina faso,2,2,fifa world cup qualification,blida,algeria,False,draw,november
2021-11-16,mauritania,equatorial guinea,1,1,fifa world cup qualification,nouakchott,mauritania,False,draw,november
2021-11-16,tunisia,zambia,3,1,fifa world cup qualification,radès,tunisia,False,home_team,november
2021-11-16,central african republic,liberia,3,1,fifa world cup qualification,tangier,morocco,True,home_team,november
2021-11-16,nigeria,cape verde,1,1,fifa world cup qualification,lagos,nigeria,False,draw,november
2021-11-16,malawi,mozambique,1,0,fifa world cup qualification,cotonou,benin,True,home_team,november
2021-11-16,cameroon,ivory coast,1,0,fifa world cup qualification,douala,cameroon,False,home_team,november
2021-11-16,egypt,gabon,2,1,fifa world cup qualification,alexandria,egypt,False,home_team,november
2021-11-16,libya,angola,1,1,fifa world cup qualification,benghazi,libya,False,draw,november
2021-11-16,morocco,guinea,3,0,fifa world cup qualification,casablanca,morocco,False,home_team,november
2021-11-16,lebanon,united arab emirates,0,1,fifa world cup qualification,sidon,lebanon,False,away_team,november
2021-11-16,iraq,south korea,0,3,fifa world cup qualification,al rayyan,qatar,True,away_team,november
2021-11-16,iran,syria,0,3,fifa world cup qualification,amman,jordan,True,away_team,november
2021-11-16,australia,china pr,1,1,fifa world cup qualification,sharjah,united arab emirates,True,draw,november
2021-11-16,vietnam,saudi arabia,0,1,fifa world cup qualification,hanoi,vietnam,False,away_team,november
2021-11-16,oman,japan,0,1,fifa world cup qualification,muscat,oman,False,away_team,november
2021-11-16,jamaica,united states,1,1,fifa world cup qualification,kingston,jamaica,False,draw,november
2021-11-16,canada,mexico,2,1,fifa world cup qualification,edmonton,canada,False,home_team,november
2021-11-16,costa rica,honduras,2,1,fifa world cup qualification,san josé,costa rica,False,home_team,november
2021-11-16,panama,el salvador,2,1,fifa world cup qualification,panama city,panama,False,home_team,november
2021-11-16,bosnia and herzegovina,ukraine,0,2,fifa world cup qualification,zenica,bosnia and herzegovina,False,away_team,november
2021-11-16,finland,france,0,2,fifa world cup qualification,helsinki,finland,False,away_team,november
2021-11-16,wales,belgium,1,1,fifa world cup qualification,cardiff,wales,False,draw,november
2021-11-16,czech republic,estonia,2,0,fifa world cup qualification,prague,czech republic,False,home_team,november
2021-11-16,gibraltar,latvia,1,3,fifa world cup qualification,gibraltar,gibraltar,False,away_team,november
2021-11-16,montenegro,turkey,1,2,fifa world cup qualification,podgorica,montenegro,False,away_team,november
2021-11-16,netherlands,norway,2,0,fifa world cup qualification,rotterdam,netherlands,False,home_team,november
2021-11-16,bolivia,uruguay,3,0,fifa world cup qualification,la paz,bolivia,False,home_team,november
2021-11-16,venezuela,peru,1,2,fifa world cup qualification,caracas,venezuela,False,away_team,november
2021-11-16,colombia,paraguay,0,0,fifa world cup qualification,barranquilla,colombia,False,draw,november
2021-11-16,argentina,brazil,0,0,fifa world cup qualification,san juan,argentina,False,draw,november
2021-11-16,chile,ecuador,0,2,fifa world cup qualification,santiago,chile,False,away_team,november
2022-01-27,jamaica,mexico,1,2,fifa world cup qualification,kingston,jamaica,False,away_team,january
2022-01-27,united states,el salvador,1,0,fifa world cup qualification,columbus,united states,False,home_team,january
2022-01-27,honduras,canada,0,2,fifa world cup qualification,san pedro sula,honduras,False,away_team,january
2022-01-27,costa rica,panama,1,0,fifa world cup qualification,san josé,costa rica,False,home_team,january
2022-01-27,lebanon,south korea,0,1,fifa world cup qualification,sidon,lebanon,False,away_team,january
2022-01-27,iran,iraq,1,0,fifa world cup qualification,tehran,iran,False,home_team,january
2022-01-27,united arab emirates,syria,2,0,fifa world cup qualification,dubai,united arab emirates,False,home_team,january
2022-01-27,japan,china pr,2,0,fifa world cup qualification,saitama,japan,False,home_team,january
2022-01-27,australia,vietnam,4,0,fifa world cup qualification,melbourne,australia,False,home_team,january
2022-01-27,saudi arabia,oman,1,0,fifa world cup qualification,jeddah,saudi arabia,False,home_team,january
2022-01-27,ecuador,brazil,1,1,fifa world cup qualification,quito,ecuador,False,draw,january
2022-01-27,paraguay,uruguay,0,1,fifa world cup qualification,asunción,paraguay,False,away_team,january
2022-01-27,chile,argentina,1,2,fifa world cup qualification,calama,chile,False,away_team,january
2022-01-28,colombia,peru,0,1,fifa world cup qualification,barranquilla,colombia,False,away_team,january
2022-01-28,venezuela,bolivia,4,1,fifa world cup qualification,barinas,venezuela,False,home_team,january
2022-01-30,canada,united states,2,0,fifa world cup qualification,hamilton,canada,False,home_team,january
2022-01-30,mexico,costa rica,0,0,fifa world cup qualification,mexico city,mexico,False,draw,january
2022-01-30,panama,jamaica,3,2,fifa world cup qualification,panama city,panama,False,home_team,january
2022-01-30,honduras,el salvador,0,2,fifa world cup qualification,san pedro sula,honduras,False,away_team,january
2022-02-01,lebanon,iraq,1,1,fifa world cup qualification,sidon,lebanon,False,draw,february
2022-02-01,iran,united arab emirates,1,0,fifa world cup qualification,tehran,iran,False,home_team,february
2022-02-01,south korea,syria,0,2,fifa world cup qualification,dubai,united arab emirates,True,away_team,february
2022-02-01,vietnam,china pr,3,1,fifa world cup qualification,hanoi,vietnam,False,home_team,february
2022-02-01,japan,saudi arabia,2,0,fifa world cup qualification,saitama,japan,False,home_team,february
2022-02-01,oman,australia,2,2,fifa world cup qualification,muscat,oman,False,draw,february
2022-02-01,bolivia,chile,2,3,fifa world cup qualification,la paz,bolivia,False,away_team,february
2022-02-01,uruguay,venezuela,4,1,fifa world cup qualification,montevideo,uruguay,False,home_team,february
2022-02-01,argentina,colombia,1,0,fifa world cup qualification,córdoba,argentina,False,home_team,february
2022-02-01,peru,ecuador,1,1,fifa world cup qualification,lima,peru,False,draw,february
2022-02-01,brazil,paraguay,4,0,fifa world cup qualification,belo horizonte,brazil,False,home_team,february
2022-02-02,united states,honduras,3,0,fifa world cup qualification,saint paul,united states,False,home_team,february
2022-02-02,jamaica,costa rica,0,1,fifa world cup qualification,kingston,jamaica,False,away_team,february
2022-02-02,el salvador,canada,0,2,fifa world cup qualification,san salvador,el salvador,False,away_team,february
2022-02-02,mexico,panama,1,0,fifa world cup qualification,mexico city,mexico,False,home_team,february
2022-03-17,cook islands,solomon islands,0,2,fifa world cup qualification,doha,qatar,True,away_team,march
2022-03-18,new zealand,papua new guinea,0,1,fifa world cup qualification,doha,qatar,True,away_team,march
2022-03-18,fiji,new caledonia,1,2,fifa world cup qualification,doha,qatar,True,away_team,march
2022-03-21,new caledonia,papua new guinea,1,0,fifa world cup qualification,doha,qatar,True,home_team,march
2022-03-21,fiji,new zealand,4,0,fifa world cup qualification,doha,qatar,True,home_team,march
2022-03-24,jamaica,el salvador,1,1,fifa world cup qualification,kingston,jamaica,False,draw,march
2022-03-24,mexico,united states,0,0,fifa world cup qualification,mexico city,mexico,False,draw,march
2022-03-24,panama,honduras,1,1,fifa world cup qualification,panama city,panama,False,draw,march
2022-03-24,costa rica,canada,1,0,fifa world cup qualification,san josé,costa rica,False,home_team,march
2022-03-24,lebanon,syria,0,3,fifa world cup qualification,sidon,lebanon,False,away_team,march
2022-03-24,iraq,united arab emirates,1,0,fifa world cup qualification,riyadh,saudi arabia,True,home_team,march
2022-03-24,south korea,iran,2,0,fifa world cup qualification,seoul,south korea,False,home_team,march
2022-03-24,china pr,saudi arabia,1,1,fifa world cup qualification,sharjah,united arab emirates,True,draw,march
